"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","708","Блок с текстом отображается при вводе двух одинаковых адресов","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","1647","Проверка описаний для каждого тарифа","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","1602","Проверка описаний для каждого тарифа","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","757","Проверка пересчета времени и стоимости при переключении между видами маршрута (Оптимальный\Быстрый)","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","1629","Проверка описаний для каждого тарифа","tests","2026-05-20","skipped","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","739","Проверка отображения кнопки 'Вызвать такси'","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","691","Блок с выбором маршрута отображается при вводе двух разных адресов","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","1295","Проверка отображения нужных полей для заказа такси","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","1566","Проверка описаний для каждого тарифа","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","747","Проверка активности вкладки 'Оптимальный' при клике на нее","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","737","Проверка активности вкладки 'Свой' при клике на нее","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","1624","Проверка описаний для каждого тарифа","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","1325","Проверка отображения тарифов в панели","tests","2026-05-20","passed","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","1211","Проверка отображения двух точек начала и конца маршрута","tests","2026-05-20","passed","2026-05-20","TestRouteMap","Отрисовка маршрута","",""
"","1624","Проверка описаний для каждого тарифа","tests","2026-05-20","skipped","2026-05-20","TestOrderPanel","Панель выбора тарифов","",""
"","1967","Проверка элементов окна 'Ожидание машины' на соответствие ТЗ","tests","2026-05-20","passed","2026-05-20","TestTaxiOrderingFlow","Флоу заказа такси","",""
"","1411","Проверка равенства цены при выборе тарифа и цены в деталях заказа","tests","2026-05-20","passed","2026-05-20","TestTaxiOrderingFlow","Флоу заказа такси","",""
"","18801","Проверка элементов окна 'Совершенный заказ' на соответствие ТЗ","tests","2026-05-20","passed","2026-05-20","TestTaxiOrderingFlow","Флоу заказа такси","",""
"","1387","Проверка закрытия окна 'Ожидание машины' при клике на кнопку 'Отмена'","tests","2026-05-20","passed","2026-05-20","TestTaxiOrderingFlow","Флоу заказа такси","",""
"","762","Проверка отображения кнопки 'Забронировать' для типа передвижения 'Драйв'","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
"","751","Проверка активности всех типов передвижения при клике на вкладку 'Свой'","tests","2026-05-20","passed","2026-05-20","TestRoutePanel","Блок с выбором маршрута","",""
